"id_list","star_list","txt_list"
"희영(heey****)","1","속지마세요 댓글알바에게..  "
"상아(gerl****)","1","영점은 없으니 줄 수 없다. 마지막 씬은 최악이다.  "
"숙녀의품격(sexy****)","1","하 .. ㅆㄹㄱ 같은 영화 김래원 배우가 아깝다 진짜 진부하고 이런 노잼 영화를 날씨 좋은날 어두운데 갇혀서 열받을뿐  "
"유상(pess****)","2","지루하지 않은 틈을 1도 주지 않는다...  "
"이주호(lee9****)","1","진심 드럽게 재미앖습니다  "
"Hoilis(fiew****)","2","나같으면 맹목적으로 서민을 위한다는 장세출보단 테마파크 설립한다는 최만수에게 표를 줄 것 같다. 서민을 위해서 뭘 어떻게 할건데?  "
"BrownEM(tupd****)","1","스포라 내용노출은 못하겠는데 개연성이 떨어져도 너무 떨어져요. 저 연기 잘하는 배우들 데려다가 뭘찍은건지 모르겠네. 진짜 평점조작 알바들 다 죽이고싶다 9점은 좀 양심 너무없지않냐?  "
"윤댕(thmj****)","1","시간도 아까워 팝콘도 아까워 커피는 맛있어 알라딘 두벌 볼래ㅠㅠ홍상수 영화보다 더 재미없어  "
"들꽃아이(tata****)","2","최악이였다.이걸 영화라고 ㅉㅉ  "
"핑크공맘(miae****)","6","나두 김래원의 오래된팬이지만 솔직히 10점은 그렇궁 그냥 가볍게 보기좋은 영화네요,, 중간중간 카메오가 대박입니다,,  "
"aizi****","1","으따 뭐당가 나가 영웅이여라??  "
"dkzpsldk(soli****)","1","ㅋㅋ 기생충이랑 진짜 비교된다 머 이딴영화가 다있냐 구닥다리스토리 너무 뻔해서 토악질이나온다 개연성진짜 개나줬음? ㅋㅋㅋ  "
"dong****","1","개연성 최악... 왜 국회의원이 되고싶은건데????  "
"hyon****","10","관람객조폭영화는 아닌거같아요 자극적이지않아서좋네요 시사하는바도있고  "
"어린공주(lwot****)","1","진짜 평점 안쓰는데 너무너무 재미없음  "
"배수미(satd****)","2","웹툰을안보고 볼걸 그랬습니다 ㅜㅜ너무 허무하고 한편의 영화에 너무 압축해버린듯한 스토리 실망했습니다  "
"ksnk****","2","오늘 밤 김래원 나온다 해서 영화를 봤는데 참 재미없네  "
"밸런소(jdso****)","8","무조건 죽이는 조폭영화보다 이영화가 더 재밌다.. 웃김  "
"김태호(just****)","1","100만도못가노 ㅋㅋ  "
"amer****","1","돈아까워..댓글 알바에 속아서돈버리고 시간버리고옴노잼  "
